Title,Release Date,Description,Release Year
Tokyo Xtreme Racer Drift 2,2005-07-28,"The third and final game in the touge-based ""Kaidou Battle"" sub-series of Genki's street racing series Tokyo Xtreme Racer.",2005
The Simpsons Game,2007-10-06,One of America's favorite animated families find themselves with video game powers in this spoof-heavy action-adventure platformer based on The Simpsons.,2007
SVC Chaos: SNK vs. Capcom,2003-07-24,"After over a decade of rivalry, SNK brings its fight with Capcom into its home turf: the Neo Geo.",2003
Premier Manager 09,2008-08-15,A soccer management simulation game.,2008
Smash Court Tennis Pro Tournament,2002-02-07,,2002
R:Racing Evolution,2003-12-09,"A sim-style car racing game from the studio behind the Ridge Racer series, featuring multiple racing styles (GT, rally, and drag) and a dedicated story mode.",2003
Premier Manager 2003-04,2003-11-22,A soccer management simulation game.,2003
UFC: Sudden Impact,2004-04-21,UFC: Sudden Impact is the second game released on the Playstation 2 based on the popular mixed martial arts organization.,2004
Pro Evolution Soccer 6,2006-04-27,"Pro Evolution Soccer 6 (also known as World Soccer: Winning Eleven 10 and World Soccer: Winning Eleven X for Xbox 360 in Japan and South Korea, Winning Eleven: Pro Evolution Soccer 2007 in the United States) is a video game developed and published by Konami.",2006
UEFA Euro 2004 Portugal,2004-05-04,,2004
FIFA World Cup: Germany 2006,2006-04-24,Challenge as your favourite national squad for the World Cup.,2006
Kowloon High-School Chronicle,2004-09-16,A dungeon crawler RPG with adventure game segments where the player can increase their relationship with other characters.,2004
Star Wars: Bounty Hunter,2002-11-19,The game follows the life of Jango Fett as he tries to hunt down the dark jedi Komari Vosa and collect the bounty on her head.,2002
SkyGunner,2002-06-25,An whimsical arcade shooter for the PlayStation 2 with surprising depth that rewards multiple playthroughs.,2002
Monster Bass,2003-02-06,A Japanese-exclusive fishing game from Konami.,2003
UFC: Throwdown,2002-06-03,"Build the best fighter, and destroy the rest.",2002
An American Tail,2007-07-13,A budget 3D platformer and an adaptation of the 1986 animated film of the same name.,2007
Casper's Scare School,2008-02-01,A 3D platformer based on the 2006 CGI television film of the same name.,2008
Casper and the Ghostly Trio,2007-02-10,A Europe-exclusive platformer based on the cartoon ghost child Casper the Friendly Ghost.,2007
The Thing,2002-08-19,The semi-sequel to the 1982 sci-fi horror film.,2002
Myth Makers: Trixie in Toyland,2005-07-24,"A budget platformer nearly-identical to Ninjabread Man, starring a pajama-garbed girl in a land of toys.",2005
Anubis II,2005-07-07,"A budget platformer nearly identical to Ninjabread Man, starring an anthropomorphic version of the ancient Egyptian god Anubis. Despite the numeral in its title, it is not a sequel.",2005
Ninjabread Man,2005-07-13,Candy Land is invaded by bees and mutant sweets. Are you a bad enough gingerbread man to save the once sweet and tasty land?,2005
The Shadow of Zorro,2002-02-08,The Shadow of Zorro allows players to take the legendary hero on an adventure on PlayStation 2 and PC.,2002
Downhill Domination,2003-07-22,"Downhill Domination is a mountain biking game that focuses on fast and dangerous downhill descents, on-bike combat and gigantic jumps and tricks. The game is from the same team that brought us Twisted Metal: Black.",2003
Resident Evil 4,2005-01-11,Special agent Leon S. Kennedy travels to rural Spain to rescue the U.S. President's kidnapped daughter in Resident Evil's sixth canonical installment. It is notable for a lengthy development cycle which involved a complete overhaul of the series' established gameplay mechanics.,2005
Backyard Wrestling 2: There Goes the Neighborhood,2004-11-16,Backyard Wrestling 2: There Goes the Neighborhood is an arcade style fighting game loosely based on no holds barred wrestling.,2004
X-Treme Express: World Grand Prix,2001-07-05,Train driving gets over-the-top in this arcade-style high-speed train racing game for the PS2.,2001
King of Colosseum II,2004-09-09,A Japanese wrestling game developed by Spike. Features many real promotions and real licensed Japanese wrestlers.,2004
Morita Shogi,2000-03-04,,2000
The Urbz: Sims in the City,2004-11-09,The Urbz is a console-oriented spin-off of the Sims series. Unlike other Sims titles it focuses less on building and furnishing homes and more on social interactions.,2004
The Sims,2003-01-12,"The Sims is the console version of the computer game of the same name. Using a different engine as its computer-counterpart, these games are considered different.",2003
The Sims,2000-01-31,"Construct and furnish a home, and then influence the day-to-day lives of its occupants (called Sims) in an isometrical ""people simulator"" by Will Wright.",2000
Ben 10: Protector of Earth,2007-10-30,The second Ben 10 made to tie-in with the TV series.,2007
JoJo's Bizarre Adventure: Phantom Blood,2006-10-26,An action game based on the first arc of the JJBA manga.,2006
Tetris Worlds,2001-09-05,"The alien ""Minos"" must colonize six distant worlds before their homeworld is destroyed, each of which require mastery of six different variations of the classic falling-blocks puzzle game Tetris.",2001
Sega Ages 2500 Series Vol. 28: Tetris Collection,2007-03-02,"A Japan-only PS2 compilation of Sega's earlier arcade adaptations of the puzzle game Tetris, along with a new remix that's built on the modern Tetris specifications.",2007
Wangan Midnight,2001-02-01,"The first video game adaptation of the street racing manga of the same name, developed by the studio behind the Tokyo Xtreme Racer series.",2001
Fallout: Brotherhood of Steel,2004-01-14,"Fallout: Brotherhood of Steel is a top-down Action RPG game set in the post-apocalyptic Fallout universe using a modified version of Snowblind's Baldur's Gate: Dark Alliance engine. Players explore dungeons, complete quests, kill monsters and gather loot in single-player or two-player cooperative gameplay.",2004
Racing Battle: C1 Grand Prix,2005-05-26,"A Japan-only spin-off of the Tokyo Xtreme Racer series of racing games and a spiritual successor to the other circuit-based ""car tuning RPG"" spin-off Kattobi Tune.",2005
MotorStorm: Arctic Edge,2009-09-10,Take trucks to the tundra as MotorStorm debuts on the PSP and PS2.,2009
NBA ShootOut 2004,2003-10-08,,2003
Star Wars: The Force Unleashed,2008-09-16,"Set before the events of the original Star Wars trilogy, The Force Unleashed casts the player as Darth Vader's secret apprentice tasked with hunting down the last of the Jedi Order.",2008
Hametsu no Mars,2005-05-26,,2005
Shin Megami Tensei: Nocturne,2003-02-20,"As the world comes to an end through the acts of a cult's sacrifice, a teenage boy is transformed into the Demi-Fiend, neither fully human nor demon.  With opposing forces fighting to shape a new world, he has the power to guide the path of its creation.",2003
Graffiti Kingdom,2004-09-22,Graffiti Kingdom is an Action-RPG in which the player can draw his own characters to defeat the many creatures in the game.,2004
Magic Pengel: The Quest for Color,2002-03-20,"Create unique monsters by drawing, and then use them to challenge the King Of All Doodles in this take on the monster battle genre.",2002
