Title,Release Date,Description,Release Year
Midnight Club: Street Racing,2000-10-26,"Join the Midnight Club, a group of underground street racers that race for money and power in highly customized sports cars. Midnight Club was also one of the many launch titles for the Playstation 2.",2000
NASCAR 2005: Chase for the Cup,2004-08-31,"NASCAR 2005 revolutionizes NASCAR video games by adding the National, Craftsman Truck, and Featherlite Modified Series to the game, plus the all new Chase points format in an all new Chase for the Cup Mode.",2004
Major League Baseball 2K11,2011-03-08,Major League Baseball 2K11 is Visual Concepts iteration of the MLB franchise for the 2011 MLB season and features the Dynamic Player Rating system that updates player ratings on recent real-world performance.,2011
Buzz! Junior: Ace Racers,2008-10-24,Up to 4 players can compete in races and mini-games using the Buzz! controllers.,2008
Street Boyz,2004-11-11,Street Boyz is a beat 'em up that was released only in Europe and Japan.,2004
SSX Tricky,2001-11-05,SSX Tricky is the second game in the SSX franchise and was released under the now-defunct EA Sports Big label. Tricky is the first game in the series to feature Uber Tricks.,2001
Rock Band 2,2008-09-14,"Harmonix, MTV Games, and EA return with the sequel to Rock Band. Rock Band 2 ships with 84 on-disc songs, 20 free downloadable songs, compatibility with all DLC, and the ability to import most songs from the first Rock Band.",2008
MLB 09: The Show,2009-03-03,Return to The Show with Sony's latest and greatest entry in its long-running baseball series. Nothing gets you closer.,2009
Smuggler's Run 2: Hostile Territory,2001-10-29,"Smuggler's Run 2: Hostile Territory is the sequel to Smugglers Run, You play as an unseen character working as a smuggler in Georgia trying to deliver illegal goods to destinations within 3 extensive maps",2001
Wizardry Xth: Academy of Frontier,2005-02-24,A Japanese Wizardry spin-off set in a military academy.,2005
NHL Hitz Pro,2003-09-23,"NHL Hitz Pro is a licensed ice hockey game, released in September 2003 for the Playstation 2, Xbox and Nintendo Gamecube.",2003
Madden NFL 2005,2004-08-09,"Madden NFL 2005 was one of the better years of the Madden series with improved features, physics, presentation and graphics.",2004
Tak and the Guardians of Gross,2008-10-13,.,2008
Phantasy Star Universe,2006-08-31,Phantasy Star Universe tells the story of a Guardian named Ethan Waber who is on a mission to save his sister and stop a mysterious life form known as the SEED.,2006
Seaman 2,2007-10-18,Seaman 2 is the sequel to the first Seaman. It was the top selling game in Japan during its first week of release.,2007
Memories Off 6: T-Wave,2008-08-21,"A high-school romance based visual novel for the PS2 and Xbox 360, developed and published by 5pb.",2008
Dance Dance Revolution EXTREME,2002-12-25,"The eighth Japanese release in the main Dance Dance Revolution series, and ninth release in North American.",2002
Jackie Chan Adventures,2001-11-07,Jackie Chan Adventures is an action adventure game based on the television show with the same name.,2001
G.I. Joe: The Rise of Cobra,2009-07-31,"G.I. Joe: The Game picks up where the recent film, G.I. Joe: The Rise of Cobra, left off, although it takes liberties with the film's plot and incorporates elements of the comics and television series.",2009
Gran Turismo 4: Prologue,2003-12-04,"Gran Turismo 4: Prologue is a racing game developed by Polyphony Digital and released in Japan, Southeast Asia and Europe. The game was never released in North America, for reasons unknown.",2003
Deka Voice,2003-02-13,"Deka Voice is a Cell-Shaded Adventure game, developed by Acquire and published by SCEI, which was released in Japan in 2003. Using the headset peripheral, you interrogate people and give commands to your supporting characters to solve crimes in this noir-inspired game.",2003
Orange Honey: Boku wa Kimi ni Koishiteru,2007-04-26,Orange Honey is a dating simulation game.,2007
NASCAR Thunder 2004,2003-09-16,NASCAR Thunder 2004 features Tony Stewart on the cover and all new grudges and alliances. It is still considered by most as the best Nascar game made by EA SPORTS.,2003
Wizardry Empire III: Ancestry of the Emperor,2003-12-25,The third game in Starfish's Empire spin-offs to the Wizardry franchise.,2003
City Crisis,2001-06-28,"""A City on the Brink of Disaster"" welcomes heroic helicopter pilots as they rescue survivors, fight towering infernos, chase down fleeing felons, and take on the ultimate challenge: natural disasters.",2001
NBA 06,2005-10-04,NBA 06 is a basketball game for the PSP and PS2.,2005
RTX: Red Rock,2003-06-17,,2003
Swing Away Golf,2000-10-17,Swing Away Golf is a golf game for the PlayStation 2.,2000
Surfing H3O,2000-10-26,Go surfing without getting wet!,2000
Shox,2002-11-12,Shox is a racing game that is very unique and exciting.,2002
Stuntman,2002-06-25,Stuntman is a game for the PS2 and GBA and is centered around the player starting a career as a Hollywood stunt man.,2002
XG3: Extreme G Racing,2001-08-21,"Futuristic, sci-fi themed racing game featuring ridiculously fast motorcycles (of sorts) that can travel in excess of 1000 mph. They can also be outfitted with weapons, making each race fast and nerve-wracking.",2001
Hot Shots Golf Fore!,2003-11-27,The FOREth entry in the light-hearted Hot Shots Golf franchise.,2003
Guitar Hero World Tour,2008-10-26,"The fourth game in the Guitar Hero series adds drums and vocals to the mix, along with a music studio that you can use to create new tracks and share them online.",2008
Wild Arms 4,2005-03-03,"An invading army attacks the isolated town of Ciel, and four young heroes team up to find out why.",2005
Need for Speed: Undercover,2008-11-17,Need for Speed: Undercover returns the franchise to the arcade-style open world gameplay found in NFS: Most Wanted and NFS: Carbon.,2008
Mobile Suit Gundam SEED: Never Ending Tomorrow,2005-09-29,Never Ending Tomorrow is an action game based on the Gundam SEED franchise.,2005
Mobile Suit Gundam: Zeonic Front,2002-01-15,Carefully plan out your missions for your squad the Midnight Fenrir to successfully fight for your independence from the Earth Federation.,2002
Pac-Man World 3,2005-11-15,,2005
Pac-Man World Rally,2006-08-22,,2006
X Squad,2000-10-26,"A PlayStation 2 launch title, X-Squad is about a team of four soldiers that come together after W-Squad has been defeated and Dr. Bianca Noble kidnapped. Ash, X-Squad's leader, insists on saving her and her stolen experiment Project Medusa.",2000
Yu-Gi-Oh! GX: The Beginning of Destiny,2007-12-06,A card battle game set in the Yu-Gi-Oh! GX universe.,2007
Van Helsing,2004-05-06,Van Helsing is a video game adaptation of the 2004 movie of the same name.,2004
Crackpots,1983-05-16,Crackpots is a game that continues the ages old rivalry of man and bugs. Use strategically placed flower pots to squash as many bugs as possible before you are completely overrun.,1983
Shaun White Snowboarding,2008-11-13,"Take to the slopes in this new snowboarding franchise from Ubisoft. Create your own paths, film your own tricks and share them with the world.",2008
Heroes of Might and Magic: Quest for the DragonBone Staff,2001-04-17,"The first and only console entry in the revered PC strategy series is, despite the name, a remake of King's Bounty, which preceded the Heroes series by a few years.",2001
Critical Velocity,2005-10-13,"Critical Velocity is a mission based open world driving game. Originally titled Rune Chaser, this game was only released in Japan.",2005
Cabela's Big Game Hunter 2005 Adventures,2004-09-06,A hunting game publised by Activision.,2004
Mashed: Fully Loaded,2006-06-28,"Mashed: Fully Loaded is the expanded release of the original Mashed: Drive to Survive. Race against CPU opponents or friends. Use all manner of weapons to blow stuff up and avoid being blown up yourself. 
Mortars, Missile launchers, Flamethrowers, Drum bombs and more are the key to winning.",2006
X-Men: Next Dimension,2002-10-15,"X-Men Next Dimension is a 3D fighting game featuring characters like Cyclops, Wolverine, Magneto, Rogue, and many more.  It is the spiritual successor to the Mutant Academy games.",2002
The Terminator: Dawn of Fate,2002-09-16,"The future is what we make it, so let's set the future right.",2002
The Lord of the Rings: The Fellowship of the Ring,2002-09-24,Lord of the Rings: The Fellowship of the Ring is an action role-playing game that is based on the book of the same name.,2002
World Series of Poker: Tournament of Champions,2006-09-12,,2006
NBA 2K8,2007-10-02,NBA 2K8 continues a five year legacy as the #1 rated NBA simulation with in-game features that bring basketball to life like never before.,2007
Are You Smarter Than A 5th Grader? Make the Grade!,2008-10-20,Fox's ridiculously popular trivia game show on television adds yet another layer visual torture with a video game adaptation.,2008
Iron Man,2008-05-02,The classic Marvel superhero Iron Man steps into the world of video games in his own game based on the hit blockbuster film.,2008
The BIGS 2,2009-07-07,The sequel to the BIGS aims to further refine the arcade feel of the original.,2009
Antz Extreme Racing,2002-08-28,"Released four years after the movie that inspired it, Antz Extreme Racing features, as you would expect, the pint-sized characters from Antz participating in high-speed racing events.",2002
Aliens in the Attic,2009-06-28,Aliens in the Attic is a Horror Action Adventure game created by Playlogic.,2009
Alvin and the Chipmunks,2007-12-04,"Based on the movie of the same name, Alvin and the Chipmunks is a rhythm game featuring tracks like 'Heartbreak Hotel' and 'Love Shack'.",2007
Alpine Ski Racing 2007,2006-12-04,Alpine Ski Racing 2007 is a Skiing game by JoWood Productions.,2006
Cabela's African Safari,2006-10-17,Cabela's African Safari is a 2006 release in the trophy hunter franchise.,2006
FIFA 10,2009-09-28,FIFA 10 is EA Sports' 2009-2010 edition of the successful football game franchise.,2009
Bujingai: The Forsaken City,2003-12-25,Bujingai: The Forsaken City is a hack 'n' slash game that takes place in post-apocalyptic Japan. An ancient warrior named Lau must cut his way through hordes of demons to save the world.,2003
Digimon World Data Squad,2006-11-30,The 5th game in the Digimon World series.,2006
Ape Escape: Million Monkeys,2006-07-13,Ape Escape: Million Monkeys pits players against mech-equipped monkeys in real Japanese locations.,2006
Buzz!: The Music Quiz,2005-10-21,,2005
Buzz!: The BIG Quiz,2006-03-17,,2006
Rapala Pro Fishing,2004-08-31,,2004
Monster Rancher 4,2003-11-13,Monster Rancher 4 is a monster-breeding simulation game where you generate monsters from the data on other CDs and DVDs and raise them to fight other monsters.,2003
Monster Rancher EVO,2005-12-08,"Unlock your disc with the fifth game in the Monster Rancher series, Monster Rancher EVO!",2005
NHL 07,2006-09-12,NHL 07 was the 16th game of the NHL franchise from EA Sports.,2006
NHL 06,2005-09-06,NHL 06 is the first NHL game to be released after the NHL Lockout of 2005.  It features a slight graphical upgrade.  This is the last NHL game on the GameCube.,2005
Cabela's Dangerous Hunts,2003-11-11,A hunting based first person shooter published by Activision.,2003
Cabela's Deer Hunt: 2004 Season,2003-08-26,A Cabela's deer hunting game.,2003
Cabela's Dangerous Hunts 2009,2008-09-23,Sequel to Cabela's Dangerous Hunts 2. Cabela's Dangerous Hunts 2009 promises to be more survival orientated that the previous two.,2008
Cabela's Outdoor Adventures,2005-09-13,A Cabela's game that incorporates hunting AND fishing. Wow!,2005
Cabela's Trophy Bucks,2007-09-25,Another hunting game in the Cabela series,2007
Nobunaga's Ambition: Rise to Power,2008-02-05,A Playstation 2 entry in the Nobunaga's Ambition series.,2008
Worms 4: Mayhem,2005-09-28,The third 3D worms game improves on its predecessor with more options and more mayhem.,2005
Deer Hunter,2003-12-22,PlayStation 2 entry to the Deer Hunter series.,2003
Mercury Meltdown,2006-10-03,"Using a small blob of mercury, you must roll, squeeze, and transform your way through a series of progressively harder, obstacle-filled levels.",2006
Go Kart Rally,2007-04-20,,2007
Momotaro Dentetsu X,2001-12-13,Celebrates the 10th year of King Bomby.,2001
Momotaro Dentetsu USA,2004-11-18,America! F**k yeah!,2004
Momotaro Dentetsu 16,2006-12-07,Available on PlayStation 2 *and* Wii!,2006
Momotaro Dentetsu 15,2005-12-08,PlayStation 2 exclusive hijinks.,2005
Momotaro Dentetsu 11,2002-12-05,Eleventh entry in Momotaro Dentetsu series.,2002
Momotaro Dentetsu 12,2003-12-11,Twelve! Twelve games! Ah ah ah.,2003
Iron Chef,2007-12-01,I don't think this is licensed....,2007
NBA 2K7,2006-09-25,"NBA 2K7 is the eighth installment of the NBA 2K series of realistic basketball games, updating the roster to the 2006/2007 NBA season while improving the online play and adding every athlete's ""signature style"".",2006
NBA Street,2001-06-18,NBA Street is the first in a successful series of three-on-three arcade-style basketball games.,2001
Hugo Bukkazoom!,2003-10-31,Hugo kart racer,2003
Need for Speed: Hot Pursuit 2,2002-09-30,"Need for Speed: Hot Pursuit 2 is the sequel to the 1998 blockbuster racing game, NFS III. Like its predecessor, it features high-speed police chases in exotic cars around a variety of locales around the world.",2002
WinBack 2: Project Poseidon,2006-04-25,Help the Crisis Response Team stop a nuclear weapon named Project Poseidon with the sequel to Winback.,2006
NFL Street,2004-01-13,"NFL Street is EA's first foray into arcade style football games. Based around extreme hits and fast plays, NFL Street separates itself from other arcade games with its stylish visuals and Gamebreaker mechanics from the NBA Street games.",2004
F1 2001,2001-11-18,A formula 1 racing game.,2001
Formula One 05,2005-07-01,Formula One 05 continued to improve the gameplay mechanics and A.I over the previous Formula 1 games which was a step in the right direction after a number of lackluster Formula 1 games developed by Studio Liverpool.,2005
Formula One 06,2006-07-28,"Developed by Studio Liverpool, this is the fifteenth game in the Official Formula One games.",2006
Music Maker,2001-12-07,Music Maker is a music game for the PS2.,2001
Who Wants To Be a Millionaire: Party Edition,2006-11-24,"Who Wants To Be a Millionaire: Party Edition is a PS2, PSP, and PC game released only in the UK.",2006
Jeep Thrills,2008-11-28,,2008
Spy Fiction,2003-12-25,"Spy Fiction is a stealth-based video game by Sammy Studios and Sega for the PlayStation 2. The game is promoted as ""stealth action inspired by genre-defining espionage classics"" and gives players the ability to disguise themselves as any character in the game.",2003
Romance of the Three Kingdoms X,2005-06-21,The tenth title in Koei's long running strategy game series set in ancient China.,2005
Major League Baseball 2K5,2005-02-28,"With a mixture of simulation and arcade style gameplay, MLB 2K5 tries to bring the best of both worlds into one game. MLB 2K5 is also the last MLB 2K game to have full ESPN presentation integration.",2005
Major League Baseball 2K10,2010-03-02,MLB 2K10 is 2K Sports latest Major League Baseball game. Evan Longoria is the featured cover athlete.,2010
Pro Evolution Soccer 4,2004-08-05,"A football video game brought to you by Konami, Pro Evolution Soccer 4 features thousands of licensed players.",2004
Pro Evolution Soccer 3,2004-02-17,The third instalment in the Pro Evolution Soccer franchise makes a number of improvements on the classic footballing formula.,2004
UEFA Champions League 2006-2007,2007-03-20,UEFA Champions League 2006–2007 is the official video game of the UEFA Champions League 2006/2007 season.,2007
Atelier Iris 2: The Azoth of Destiny,2005-05-26,Atelier Iris 2: Tha Azoth of Destiny is a console role-playing game developed by GUST for the Playstation 2. It was released in North America by NIS America and in Europe by KOEI. The game is a prequel to Atelier Iris: Eternal Mana.,2005
MLB Power Pros,2007-10-02,The first Power Pro baseball game released in North America lets you take on the role of a college player or a general manager. The stylized art style and RPG elements make this baseball game a unique experience.,2007
Legaia 2: Duel Saga,2001-11-29,"Legaia 2: Duel Saga is an RPG that follows the adventures of a group of ""Mystics"" as they fight for the safety of the world after the Aqualith (a powerful stone that produces endless water) is stolen.",2001
Mad Maestro!,2002-03-12,Mad Maestro is a rhythm game dealing specifically in classical music.,2002
ESPN NHL 2K5,2004-08-30,"ESPN NHL 2K5 was the fifth game in the series, and featured Martin St.Louis on the cover who was a member of the 2004 Stanley Cup Champion Tampa Bay Lightning. He was also the winner of the Hart, Lester B. Pearson, and Art Ross Trophies that season.",2004
Gungrave: Overdose,2004-03-04,"The sequel to Gungrave. Experience a high-octane action/shooter/brawler where you can choose between the wrathful blind swordsman Juji Kabane, the relentless rock star Rocketbilly Redcadillac or the undead hero Beyond the Grave.",2004
WWE SmackDown! Here Comes the Pain,2003-10-27,Here Comes the Pain is a pro wrestling game developed by Yukes exclusively for the Playstation 2,2003
College Hoops 2K7,2006-11-20,College Hoops 2K7 was the 5th installation of 2K Sports' popular College Hoops line of College Basketball Games.,2006
Evangelion: Jo,2009-06-04,Based on the first two Neon Genesis Evangelion Rebuild movies. Evangelion: Jo was only released in Japan for the PSP,2009
Tiger Woods PGA Tour 10,2009-06-08,"Tiger Woods PGA Tour 10 is the latest edition of the perennial golf series, brought to you by EA Sports and EA Tiburon. The Wii version can be played with the Motion Plus adapter, while the 360 and PS3 versions utilize analog sticks for club control.",2009
Ibara,2005-07-15,A vertical shoot 'em up developed by Cave.,2005
The History Channel: Battle for the Pacific,2007-11-30,The History Channel: Battle for the Pacific is a first person shooter set in the Pacific Theater.,2007
Coraline: The Game,2009-01-27,"Coraline: The Game is based on Neil Gaiman’s international best-selling Hugo Award-winning book, and Focus Features’ film.  

Coraline will allow players to explore and interact with such immersive 3-D environments from the movie as the Pink Palace , its nooks and crannies and apartments, and the unpredictable Other World.",2009
Disney's Dinosaur,2000-05-19,,2000
Harry Potter: Quidditch World Cup,2003-10-28,"Fly through the air on a broom as Harry and friends while playing the wizarding world's favorite sport, Quidditch.",2003
SpongeBob SquarePants: Atlantis Squarepantis,2007-10-23,Spongebob and the gang head to Atlantis,2007
Space Chimps,2008-07-15,Space Chimps is based off of the 2008 movie with the same name.,2008
The Fast and the Furious,2006-09-26,"The Fast and the Furious comes to consoles to give users the experience of ""Tokyo Drift,"" which is based off the popular movie of the same name.",2006
Disney's Tarzan Untamed,2001-11-13,Tarzan Untamed is an action game released in 2001 and was a Gamecube launch title.,2001
Drome Racers,2002-11-20,"A racing game based on the LEGO franchise, it was the last game developed by Attention to Detail ltd.",2002
Shrek Smash N' Crash Racing,2006-11-14,Shrek Smash N' Crash Racing is a racing game for multiple platforms featuring characters and settings from the Shrek franchise.,2006
Princess Maker 4,2005-07-27,The fourth entry in Gainax's Princess Maker franchise.,2005
World Snooker Championship 2005,2005-04-15,Part of the World Snooker Championship Franchise developed by Blade Interactive.,2005
World Tour Soccer 2005,2004-03-26,Sony's soccer franchise continues.,2004
Eternal Poison,2008-02-14,"Known in Japan as Poison Pink, Eternal Poison is a dark tactical RPG.",2008
Looney Tunes: Space Race,2000-05-27,Looney Tunes: Space Race is a kart racing game featuring classic Warner Brothers cartoon characters.,2000
Dance Dance Revolution EXTREME 2,2005-09-28,,2005
DDRMAX 2 Dance Dance Revolution,2003-09-23,,2003
Dance Dance Revolution SuperNOVA,2006-09-26,"The premiere dancing game franchise returns in this new edition, featuring online multiplayer and the most songs yet.",2006
Dance Dance Revolution SuperNOVA 2,2007-08-22,"The sequel to Dance Dance Revolution SuperNOVA, you partake in a dancing experience by stepping in the direction the on-screen indicator tells you, with the aid of a dance mat or gamepad.",2007
Dance Dance Revolution X2,2009-10-27,The 2010 arcade follow-up to Dance Dance Revolution X.,2009
Samurai Warriors,2004-02-11,"A spin-off of Koei's Dynasty Warriors series, Samurai Warriors adapts the hack-and-slash gamplay and changes the setting from Three Kingdoms China to Warring States Japan.",2004
ATV Offroad Fury,2001-02-07,Action packed ATV racing.,2001
ATV Offroad Fury 2,2002-11-09,Hop and bop your way through the second installment of the ATV Offroad Fury franchise.,2002
Gretzky NHL 2005,2004-11-09,Gretzky NHL 2005 was a hockey game released exclusively on the PlayStation2.,2004
Gretzky NHL 06,2005-09-20,The most recent Gretzky NHL game by Page 44 Studios.,2005
NHL 2002,2001-09-17,"NHL 2002 showed the additions of Don Taylor's unique commentary and the NHL Cards mode, which allowed a player to collect cards that would affect give players skill boosts when used in game.",2001
NHL 2004,2003-09-22,"A solid step forward for the NHL Franchise, NHL 2004 improved the game's graphics and puck physics.  The Addition of Dynasty mode, selecting when to fight, new Stanley Cup celebrations, made this game one of the most innovative in the series.",2003
NHL 2005,2004-09-20,NHL 2005 is the 14th game in the EA Sports NHL franchise.,2004
NHL 08,2007-09-12,"NHL 08 takes the simulation of hockey video games to the next level by adding more precise stick handling, and an all new deke button that allows you to separate the puck from your player to skate around defencemen and get scoring chances.",2007
NHL FaceOff 2001,2000-09-05,,2000
NHL FaceOff 2003,2002-11-05,,2002
NHL Hitz 20-03,2002-09-15,NHL Hitz 20-03 is the second release of Midway's arcade style hockey series.,2002
Sunny Garcia Surfing,2001-10-24,2000 WCT champion Sunny Garcia lends his name to Sunny Garcia Surfing by Ubi Soft.,2001
Tourist Trophy: The Real Riding Simulator,2006-04-04,"Tourist Trophy is a motorcycle racing simulator developed by Polyphony Digital, the creators of the Gran Turismo series.",2006
Wakeboarding Unleashed featuring Shaun Murray,2003-06-03,,2003
Minna no Golf Online,2003-06-12,,2003
Monster Hunter G,2005-01-20,"A remake of the first Monster Hunter, it added new monsters, items, and online play. It was released only in Japan. A PSP port of this remake was released to the west as Monster Hunter Freedom.",2005
Karaoke Revolution: J-POP Best vol.2,2003-12-12,,2003
Karaoke Revolution: J-POP Best vol.1,2003-11-27,,2003
EyeToy: Chat,2005-02-10,Chat and play board games using EyeToy to connect with your friends and family.,2005
EyeToy: Kinetic Combat,2006-11-16,"EyeToy: Kinetic Combat is a fitness training program focused around the ancient art of Kung Gar kung fu. Join fitness trainers Matt, Anna and Leon to learn martial arts skills to increase your fitness from the comfort of your own home.",2006
EyeToy: Monkey Mania,2004-08-05,Another EyeToy mini game collection but this time it features the monkeys from Ape Escape.,2004
Higurashi no Naku Koro ni Matsuri,2007-02-22,"PS2 compilation of the first seven Higurashi chapters, plus three new exclusive chapters. The art, layout, and voice acting have been updated from the PC versions.",2007
Shinseiki Evangelion 2: Evangelions,2003-11-20,Take the role of Shinji and company as they try to prevent (or cause) the Third Impact. This game follows both the original story and variations and alternate events of the World of Neon Genesis Evangelion.,2003
Ultraman Fighting Evolution 2,2002-10-31,A sequel to the PS1 fighting game based on the popular Japanese Tokusatsu TV show released for the PS2.,2002
Kinnikuman Muscle Grand Prix MAX,2006-07-27,"Fighting game on the PS2 based on the Kinnikuman manga and anime series.  It is the home version of the arcade game, Kinnikuman Muscle Grand Prix.",2006
Kinnikuman Muscle Grand Prix Max 2: Tokumori,2008-09-25,"Sequel to Kinnikuman Muscle Grand Prix MAX. This game is only released in Japan by Sept 25, 2008.",2008
Tiger Woods PGA Tour 2003,2002-10-29,,2002
Tiger Woods PGA Tour 2005,2004-09-20,Tiger Woods PGA Tour 2005 further refined the character creation system and added new features such as Tiger Proofing and Legends Matches,2004
Tiger Woods PGA Tour 06,2005-09-26,"Tiger Woods PGA Tour 06 is the series debut on the Xbox 360. The game featured upgraded visuals and gameplay elements on the Xbox 360, but suffered from glitches and inaccessible achievements.",2005
Tiger Woods PGA Tour 08,2007-08-28,"A golfing simulation with real life courses, golfers, and equipment.",2007
Tiger Woods PGA Tour 09,2008-08-26,EA's 2009 entry in the Tiger Woods PGA Tour franchise.,2008
Championship Manager 5,2005-03-18,Championship Manager 5 is the first game in the series to be solely developed by Eidos after Eidos and Sports Interactive split.,2005
Championship Manager 2006,2006-05-05,Championship Manager 2006 is a soccer management game for the 2005/2006 season. You take control of your favorite soccer teams from around the world and lead them to glory.,2006
Championship Manager 2007,2006-10-13,Manage your own soccer team in this simulation from Eidos.,2006
Buzz! Junior: Dino Den,2008-02-22,"A kids game where you need buzzers. Has two releases, ps2 and psn",2008
Buzz! The Pop Quiz,2008-03-14,Buzz!: The Pop Quiz will test your knowledge of music from the 1990's to the present day.,2008
Buzz! Junior: Dino Den,2008-02-22,Buzz! Junior: Dino Den is a PS2 game that uses the Buzz! controllers. Up to 4 players can compete in Dinosaur related mini-games.,2008
Slotter Up Core 12: PinPon,2010-12-02,Slotter Up Core 12: PinPon is a Japanese pachislot game.,2010
Slotter UP Mania,2003-04-24,Slotter UP Mania is a Japanese pachislot game for the PlayStation 2. Slotter UP Mania is the first in an offshoot series of the original Slotter Mania series.,2003
Slotter UP Core,2003-07-10,Slotter UP Core is a Japanese pachislot game based on the manga/anime series Star of the Giants.,2003
Slotter UP Core 2,2003-07-24,Slotter UP Core 2 is a Japanese pachislot game for the PlayStation 2 based on the anime/manga series Minami no Teiou.,2003
K-1 World Grand Prix 2001,2001-12-06,"K-1 World Grand Prix 2001 is a Kickboxing game, developed by KCEJ and published by Konami, which was released in Japan in 2001.",2001
K-1 World Grand Prix 2003,2003-11-27,"K-1 World Grand Prix 2003 is a Kickboxing game, published by Konami, which was released in Japan in 2003.",2003
K-1 World GP 2005,2005-12-01,"K-1 World GP 2005 is a Kickboxing game, developed and published by D3, which was released in Japan in 2005.",2005
Bleach: Erabareshi Tamashii,2005-08-04,A game from the Bleach series. Released in japan in 2005.,2005
Goemon: Bouken Jidai Katsugeki,2000-12-21,,2000
ESPN MLS ExtraTime,2001-04-16,A soccer game from Konami first released in 2001 on the Playstation 2. It was later ported to the GameCube and Xbox in 2002.,2001
Pro Evolution Soccer 2009,2008-10-17,"Pro Evolution Soccer has been the mainstay of many a hardcore gamers with it's focus of game play and customization, particular popular in Asia and Western Europe where it has built a fanatical base of devoted editors and players alike.",2008
Pro Evolution Soccer 2010,2009-10-23,"Pro Evolution Soccer 2010 is the 9th and latest game in the popular Pro Evolution Soccer series. The game is being developed and published by Konami for release on Sony's PlayStation 2, PlayStation 3 and PlayStation Portable; Microsoft's Xbox 360 and Windows; Nintendo's Wii and for Mobile Phones",2009
Pro Evolution Soccer 2012,2011-09-27,Pro Evolution Soccer 2012 is new version of very popular football simulation game from Konami.,2011
UEFA Euro 2008,2008-04-15,"UEFA Euro 2008 is the official video game of the UEFA Euro 2008 football championships. Developed by EA Canada, the game uses an improved version of the FIFA 08 engine.",2008
Winning Eleven: Pro Evolution Soccer 2007,2006-10-27,Pro Evolution Soccer 6 is a soccer game made by Konami.,2006
World Soccer Winning Eleven 6,2003-01-30,The 2003 iteration of Konami's popular soccer franchise.,2003
World Soccer Winning Eleven 7,2003-08-07,"Excellent soccer sim. Made by Konami.
Produced by Shingo ""Seabass"" Takatsuka
Release on: Ps2
Release date: Oct 2003",2003
World Soccer Winning Eleven 8,2005-02-01,,2005
World Soccer Winning Eleven 9,2005-09-15,"Considered one of the best Winning Eleven games in the long series,as well as the first to feature actual licensed teams. 

Released for : xbox, ps2",2005
NBA 2K9,2008-10-07,NBA 2K9 continues the 2K Sports line of NBA basketball games with its tenth installment.,2008
Backyard NBA Basketball,2001-04-04,,2001
Tales of Fandom Vol. 2 Luke/Tear Version,2007-06-28,An adventure game featuring characters from multiple Tales games.,2007
SEGA AGES 2500 Vol. 10: After Burner II,2004-03-18,"Sega Ages 2500 Series Vol. 10: After Burner II is a Shoot-'Em-Up game, developed by Sims and published by Sega",2004
SEGA AGES 2500 Vol.8: V.R. Virtua Racing -FlatOut-,2004-01-20,,2004
SEGA AGES 2500 Vol.3: Fantasy Zone,2003-08-28,"The third game in the SEGA AGES 2500 line, this is a remake of the side-scrolling shoot-em-up Fantasy Zone.",2003
SEGA AGES 2500 Vol.4: Space Harrier,2003-09-25,,2003
SEGA AGES 2500 Vol.16: Virtua Fighter 2,2004-10-14,Sega Ages 2500 Vol. 16: Virtua Fighter 2 is essentially a remake of Virtua Fighter 2 for the Sega Saturn.,2004
Fighting For One Piece,2005-09-08,A traditional 2D fighting game based on manga/anime One Piece. The game was only released in Japan.,2005
One Piece Grand Battle 3,2003-12-11,This is the third game in the Grand Battle series released for the Gamecube and PlayStation 2 in Japan. This game was never translated into English.,2003
Machi-ing Maker 2.1,2007-11-29,An updated version of Machi-ing Maker 2 released under the Simple 2000 label.,2007
SingStar Norske Hits,2007-04-03,"Singstar Norske Hits is an installment in the Singstar franchise, featuring a mixture of Norwegian and previously released songs.",2007
SingStar Svenska Hits,2007-09-12,SingStar Svenska Hits is a installment in the SingStar franchise created solely for Swedish audiences.,2007
SingStar Anthems,2006-07-27,The ninth title in the SingStar franchise for PlayStation 2.,2006
SingStar Motown,2009-09-17,An instalment in the popular karaoke franchise which lets you sing songs of various Motown Artist.,2009
SingStar Summer Party,2008-04-25,"The thirteenth installment in the SingStar franchise, featuring old and new feel good hits of the summer.",2008
SingStar Party,2004-11-19,,2004
SingStar Boy Bands vs Girl Bands,2008-10-17,"Another instalment in the SingStar franchise, comprising songs from popular boy and girl bands.",2008
SingStar Rock Ballads,2007-09-21,"The eleventh title in the SingStar franchise, the track list this time comprising heart-wrenching ballads.",2007
SingStar: Take That,2009-11-06,The next instalment in the popular karaoke game series. It features songs from  the British boy band Take That.,2009
SingStar Hottest Hits,2008-09-25,"An Australia-only installment in the SingStar franchise for PlayStation 2, featuring tracks from the top of the charts in recent times.",2008
beatmania IIDX 15 DJ TROOPERS,2007-12-19,The 15th game in the IIDX series - Proceeded by IIDX Gold - Succeeded by IIDX EMPRESS,2007
beatmania IIDX 13 DistorteD,2006-03-15,The 13th game in the IIDX series - Proceeded by IIDX Happy Sky - Succeeded by IIDX Gold,2006
beatmania IIDX 14 GOLD,2007-02-21,The 14th game in the IIDX series - Proceeded by IIDX DistorteD - Succeeded by IIDX DJ TROOPERS,2007
Dancing Stage Fever,2003-10-24,One of the Dancing Stage series of games (the European version of Dance Dance Revolution). Part of the family-oriented Bemani series.,2003
Dancing Stage Fusion,2004-11-05,,2004
